Gene1,Gene2,Score
WBGene00000001,WBGene00000090,0.8573657629570487
WBGene00000001,WBGene00000898,0.8852261772031955
WBGene00000001,WBGene00004774,0.9253679209831424
WBGene00000001,WBGene00004829,0.7564358537441885
WBGene00000001,WBGene00002335,0.2870465313156346
WBGene00000001,WBGene00004860,0.011219097540702962
WBGene00000001,WBGene00001184,0.3607771845796543
WBGene00000001,WBGene00002163,0.09169932972362084
WBGene00000001,WBGene00004740,0.6972162264882472
WBGene00000001,WBGene00004310,0.21831006110259035
WBGene00000001,WBGene00003030,0.7754093638299046
WBGene00000001,WBGene00001979,0.786980350234767
WBGene00000001,WBGene00000229,0.6715216243773318
WBGene00000001,WBGene00001196,0.171271822233492
WBGene00000001,WBGene00000897,0.7510728829925406
WBGene00000001,WBGene00006868,0.8599008992308851
WBGene00000001,WBGene00018788,0.7166796306367672
WBGene00000001,WBGene00003912,0.9326956871723335
WBGene00000001,WBGene00004928,0.3463102012154071
WBGene00000001,WBGene00004214,0.8175242729505006
WBGene00000001,WBGene00000018,0.6570604949577783
WBGene00000001,WBGene00002213,0.48029039256577616
WBGene00000001,WBGene00012203,0.01558652863943621
WBGene00000001,WBGene00000416,0.922279987225908
WBGene00000001,WBGene00000566,0.5232418237819879
WBGene00000001,WBGene00006727,0.8882116326171777
WBGene00000001,WBGene00006887,0.513477242028163
WBGene00000001,WBGene00004414,0.06619996039368095
WBGene00000001,WBGene00005077,0.7861704561374673
WBGene00000001,WBGene00017039,0.4083990051646962
WBGene00000001,WBGene00003393,0.9418945631357427
WBGene00000001,WBGene00004000,-2
WBGene00000001,WBGene00001333,0.8265505725719547
WBGene00000001,WBGene00006636,0.7252712416851154
WBGene00000001,WBGene00006957,0.854709289779538
WBGene00000001,WBGene00003175,0.6933037506236005
WBGene00000001,WBGene00000074,0.6461990676699553
WBGene00000001,WBGene00006808,0.8233002527812261
WBGene00000001,WBGene00002583,0.7206990876430708
WBGene00000001,WBGene00004913,0.16727499241873675
WBGene00000001,WBGene00000900,0.4972312824022666
WBGene00000001,WBGene00000857,0.13847474633478124
WBGene00000001,WBGene00003931,0.04149338417008016
WBGene00000001,WBGene00003965,0.8128739247694314
WBGene00000001,WBGene00001502,0.5795673382604534
WBGene00000001,WBGene00004858,0.540321540274661
WBGene00000001,WBGene00003920,0.8873653127678635
WBGene00000001,WBGene00000102,0.8373314879462753
WBGene00000001,WBGene00000103,0.32096970543566533
WBGene00000001,WBGene00012929,0.3324719631434067
WBGene00000001,WBGene00013111,0.03194956854407137
WBGene00000001,WBGene00006352,0.8857787051854404
WBGene00000001,WBGene00006870,0.3882692313690256
WBGene00000001,WBGene00000870,0.5599620718730292
WBGene00000001,WBGene00003930,0.8253494552880254
WBGene00000001,WBGene00004055,0.5336038467086169
WBGene00000001,WBGene00004033,0.5869248116943154
WBGene00000001,WBGene00003401,0.7943538539226006
WBGene00000001,WBGene00004032,0.5653488480834371
WBGene00000001,WBGene00000390,0.7825427807681534
WBGene00000001,WBGene00002203,0.7471393060161357
WBGene00000001,WBGene00001648,0.9373825390131747
WBGene00000001,WBGene00001328,0.01491425015273489
